V1 V2 V3 V4 V5 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
"0.000000" "472.547945" "0.000000" "0.000000" "0.000000" 
